City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
111,Vila Franca Do Campo,PT,2021-09-22 22:45:58,37.7167,-25.4333,68.41,77,17,8.19
112,Qaanaaq,GL,2021-09-22 22:45:58,77.484,-69.3632,10.45,60,10,7.31
113,Mehamn,NO,2021-09-22 22:45:59,71.0357,27.8492,46.6,86,100,18.45
114,Bara,NG,2021-09-22 22:45:59,10.3744,10.7288,69.75,96,99,4.5
115,Chapais,CA,2021-09-22 22:45:59,49.7834,-74.8492,44.38,82,100,6.8
116,Rapid City,US,2021-09-22 22:45:59,44.0805,-103.231,84.02,16,1,1.01
117,Faanui,PF,2021-09-22 22:43:39,-16.4833,-151.75,77.83,70,2,8.34
118,Kalabo,ZM,2021-09-22 22:46:00,-14.97,22.6814,78.55,22,42,10.87
119,Cockburn Town,TC,2021-09-22 22:46:00,21.4612,-71.1419,84.16,70,40,9.22
120,Sisimiut,GL,2021-09-22 22:46:01,66.9395,-53.6735,28.13,68,1,9.22
121,Ketchikan,US,2021-09-22 22:43:58,55.3422,-131.6461,54.07,71,75,9.22
122,Ewa Beach,US,2021-09-22 22:46:01,21.3156,-158.0072,85.95,51,40,17.27
123,Huarmey,PE,2021-09-22 22:46:01,-10.0681,-78.1522,64.72,81,91,12.19
124,Manjeshwar,IN,2021-09-22 22:46:02,12.7194,74.8861,76.15,92,100,4.38
125,Ponta Do Sol,PT,2021-09-22 22:43:39,32.6667,-17.1,72.23,64,100,5.01
126,Esna,EG,2021-09-22 22:46:02,25.2934,32.554,82.42,19,1,14.63
127,Balkanabat,TM,2021-09-22 22:46:03,39.5108,54.3671,77.83,12,0,17.54
128,Harper,LR,2021-09-22 22:46:03,4.375,-7.7169,77.49,87,69,6.8
129,Doha,QA,2021-09-22 22:46:03,25.2867,51.5333,85.98,58,0,5.75
130,Sola,VU,2021-09-22 22:46:04,-13.8833,167.55,75.87,100,90,0.0
131,Brzesko,PL,2021-09-22 22:46:04,49.9691,20.6061,50.05,90,100,1.01
132,Wajima,JP,2021-09-22 22:46:05,37.4,136.9,74.23,79,0,21.74
133,Bambous Virieux,MU,2021-09-22 22:46:05,-20.3428,57.7575,71.22,78,40,11.5
134,Salalah,OM,2021-09-22 22:46:05,17.0151,54.0924,80.69,89,0,2.3
135,East London,ZA,2021-09-22 22:46:05,-33.0153,27.9116,61.45,77,9,20.58
136,Victoria,HK,2021-09-22 22:42:55,22.2855,114.1577,85.32,86,68,14.05
137,Norman Wells,CA,2021-09-22 22:46:06,65.282,-126.8329,33.84,93,90,14.97
138,Cayenne,GF,2021-09-22 22:46:06,4.9333,-52.3333,83.08,81,0,1.99
139,Ono,JP,2021-09-22 22:46:07,34.85,134.9333,74.66,72,0,3.13
140,Kitui,KE,2021-09-22 22:46:07,-1.367,38.0106,64.13,77,71,11.14
141,Carnarvon,AU,2021-09-22 22:46:07,-24.8667,113.6333,66.27,94,40,5.75
142,Thompson,CA,2021-09-22 22:46:08,55.7435,-97.8558,59.16,88,90,0.0
143,Castro,BR,2021-09-22 22:46:08,-24.7911,-50.0119,50.41,86,16,10.04
144,Georgetown,MY,2021-09-22 22:46:08,5.4112,100.3354,78.89,80,20,2.3
