City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
245,Hamilton,US,74.75,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
248,Kahului,US,85.26,light rain,20.8947,-156.47,Maui Seaside Hotel
249,Westport,US,62.98,overcast clouds,41.1415,-73.3579,The Westport Inn
250,Ugoofaaru,MV,81.5,broken clouds,5.6667,73.0,Ungoofaaru Inn
251,Sioux Lookout,CA,72.64,broken clouds,50.1001,-91.917,Knobby's Fly-In Camps
252,Batticaloa,LK,78.39,moderate rain,7.7102,81.6924,Grand Star Guest House
253,Gizo,SB,83.32,overcast clouds,-8.103,156.8419,Imagination Island
254,Calamar,CO,84.15,overcast clouds,10.2511,-74.9146,Hostal Katyalex
258,Ninghai,CN,70.74,clear sky,29.2892,121.4247,Kaiyuan New Century Hotel
259,Olinda,BR,80.33,broken clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
262,Yeppoon,AU,69.58,overcast clouds,-23.1333,150.7333,Villa Mar Colina
264,Miles City,US,77.5,clear sky,46.4083,-105.8406,FairBridge Inn & Suites Miles City
265,Lima,PE,61.14,broken clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
266,Manacapuru,BR,72.18,overcast clouds,-3.2997,-60.6206,Novo Hotel
268,Kirakira,SB,84.38,overcast clouds,-10.4544,161.9205,SanBiz Lodge
271,Port Moresby,PG,79.36,overcast clouds,-9.4431,147.1797,Lamana Hotel (Port Moresby)
273,Tefe,BR,79.93,overcast clouds,-3.3542,-64.7114,Aracati Hotel
277,Eydhafushi,MV,81.5,broken clouds,5.1033,73.0708,Soneva Fushi
279,Alofi,NU,80.49,broken clouds,-19.0595,-169.9187,Taloa Heights
282,Flin Flon,CA,63.41,few clouds,54.7682,-101.865,Victoria Inn Flin Flon
283,Uchana,IN,80.71,few clouds,29.4667,76.1667,DR AMIT SHARMA
284,Inirida,CO,74.82,scattered clouds,3.8653,-67.9239,Fuente del Guania Hotel de Lujo
285,Santo Antonio Do Ica,BR,78.28,light rain,-3.1022,-67.9397,HOTEL AMAZON WAY
286,Eyl,SO,78.24,overcast clouds,7.9803,49.8164,Amiin Hotel
289,Hami,CN,62.85,clear sky,42.8,93.45,Laoyutang Resort
290,Kindu,CD,70.97,overcast clouds,-2.95,25.95,Résidence Okanda
291,Bosaso,SO,87.84,broken clouds,11.2842,49.1816,Red Sea Hotel
292,Padang,ID,75.94,overcast clouds,-0.9492,100.3543,Mercure Padang
296,Buenos Aires,AR,62.33,broken clouds,-34.6132,-58.3772,Hotel NH Buenos Aires City
297,Muroto,JP,80.64,broken clouds,33.2833,134.15,Oota Ryokan
300,Sao Joao Da Barra,BR,71.67,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
310,Bafang,CM,63.95,light rain,5.1563,10.1788,Motel Mary-Alex
313,San-Pedro,CI,76.06,scattered clouds,4.7485,-6.6363,Hotel Maria
314,Lethem,GY,85.26,overcast clouds,3.3803,-59.7968,Savannah Inn
315,Mareeba,AU,76.48,overcast clouds,-17.0,145.4333,Trinity Plains Tourist Park
316,Peace River,CA,66.11,scattered clouds,56.2501,-117.286,BCMInns - Peace River
317,Bilma,NE,84.54,clear sky,18.6853,12.9164,Expeditions Ténére voyages
319,Rio Branco,BR,79.41,few clouds,-9.9747,-67.81,Inácio Palace Hotel
320,Misratah,LY,77.27,clear sky,32.3754,15.0925,فندق الماسة
323,Lagoa,PT,70.38,broken clouds,39.05,-27.9833,Casa Das Faias
328,Pochutla,MX,86.83,broken clouds,15.7432,-96.4661,Hotel Posada San Jose
330,Maun,BW,76.69,broken clouds,-19.9833,23.4167,Enviro Villa
331,Torbay,CA,61.88,fog,47.6666,-52.7314,Gallows Cove
333,Bayir,TR,61.32,clear sky,37.2687,28.2167,Hotel Babadag
334,Mangan,IN,72.52,overcast clouds,27.5167,88.5333,Hotel Mout View
337,Pendleton,US,81.05,scattered clouds,45.6721,-118.7886,Americas Best Value Inn Pendleton
339,Shingu,JP,76.19,light rain,33.7333,135.9833,Shingu UI Hotel
340,San Andres,CO,84.22,broken clouds,12.5847,-81.7006,Hotel Arena Blanca
341,Suez,EG,70.66,clear sky,29.9737,32.5263,Green House
