City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
174,Butaritari,KI,3.0707,172.7902,81.59,77,87,12.3,light rain
175,Cape Town,ZA,-33.9258,18.4232,61.12,70,0,9.89,clear sky
176,Tigil,RU,57.8,158.6667,38.82,92,100,7.99,light rain
177,Hithadhoo,MV,-0.6,73.0833,81.1,74,73,2.42,broken clouds
178,Bouar,CF,5.934,15.596,67.1,94,100,1.79,light rain
179,Lompoc,US,34.6391,-120.4579,91.54,35,1,16.11,clear sky
180,Portland,US,45.5234,-122.6762,62.58,90,90,1.01,light rain
181,Bastia,FR,42.6667,9.3333,70.03,72,0,4.61,clear sky
182,Leningradskiy,RU,69.3833,178.4167,25.7,93,100,12.73,light snow
183,Kibala,TD,9.1104,18.3463,75.47,85,55,1.68,broken clouds
184,Lufilufi,WS,-13.8745,-171.5986,81.55,77,61,24.07,broken clouds
185,Mumford,GH,5.2618,-0.759,77.18,90,82,10.09,light rain
186,Gudur,IN,14.1333,79.85,82.08,75,41,3.13,scattered clouds
187,Albany,US,42.6001,-73.9662,54.52,87,99,1.99,overcast clouds
188,Santa Rita,BR,-7.1139,-34.9781,74.14,89,11,7.27,few clouds
189,Avera,US,33.194,-82.5271,84.07,58,99,3.78,overcast clouds
190,Ketchikan,US,55.3422,-131.6461,51.55,90,100,5.75,light rain
191,Carahue,CL,-38.7,-73.1667,52.0,91,100,3.38,moderate rain
192,Batagay,RU,67.6333,134.6333,25.66,47,34,1.81,scattered clouds
193,Chara,RU,56.9064,118.2631,27.72,70,81,2.1,broken clouds
194,Rock Sound,BS,24.9,-76.2,81.82,73,9,17.69,clear sky
195,Ust-Tsilma,RU,65.441,52.1498,37.69,82,100,1.99,overcast clouds
196,Yar-Sale,RU,66.8333,70.8333,33.93,89,92,20.27,overcast clouds
197,Denpasar,ID,-8.65,115.2167,76.71,94,20,3.44,few clouds
198,Troy,US,42.6056,-83.1499,69.91,64,1,0.0,clear sky
199,Huarmey,PE,-10.0681,-78.1522,66.81,79,65,9.1,broken clouds
200,Ust-Kut,RU,56.7938,105.7672,27.81,95,70,2.42,broken clouds
201,Ixtapa,MX,20.7,-105.2,85.23,66,90,6.91,overcast clouds
202,Bilibino,RU,68.0546,166.4372,10.63,94,95,1.34,overcast clouds
203,Kovdor,RU,67.5662,30.4758,42.21,82,100,4.38,overcast clouds
204,Paragominas,BR,-2.9667,-47.4833,75.69,85,68,4.21,broken clouds
205,Hambantota,LK,6.1241,81.1185,77.34,100,20,1.14,few clouds
206,Ashta,IN,23.0167,76.7167,73.62,91,75,4.18,broken clouds
207,Biltine,TD,14.5333,20.9167,83.08,20,4,9.46,clear sky
208,Camacha,PT,33.0833,-16.3333,68.76,73,75,11.5,broken clouds
209,Saldanha,ZA,-33.0117,17.9442,58.19,88,0,9.42,clear sky
210,Sambava,MG,-14.2667,50.1667,67.96,89,22,8.86,few clouds
211,Lithgow,AU,-33.4833,150.15,60.08,51,83,7.05,broken clouds
212,Sao Felix Do Xingu,BR,-6.6447,-51.995,74.44,83,82,1.1,light rain
213,Seymchan,RU,62.8833,152.4333,27.28,88,100,6.42,light snow
214,Makakilo City,US,21.3469,-158.0858,88.12,56,40,9.22,scattered clouds
215,Chumikan,RU,54.7183,135.315,44.19,67,99,21.12,overcast clouds
216,Coahuayana,MX,18.7333,-103.6833,81.88,80,94,4.92,overcast clouds
217,Gilbues,BR,-9.8317,-45.3439,86.31,28,53,3.94,broken clouds
218,Praia Da Vitoria,PT,38.7333,-27.0667,70.75,88,40,3.29,scattered clouds
219,Upernavik,GL,72.7868,-56.1549,32.22,78,100,13.42,overcast clouds
220,Suntar,RU,62.1444,117.6319,26.83,87,31,3.56,scattered clouds
221,Bireun,ID,5.203,96.7009,75.56,90,100,3.2,light rain
222,Boralday,KZ,43.3578,76.8594,48.06,71,90,8.95,overcast clouds
223,Rosarito,MX,32.3333,-117.0333,92.08,48,0,10.96,clear sky
224,Haapsalu,EE,58.9431,23.5414,49.91,85,100,13.4,overcast clouds
225,Kasongo-Lunda,CD,-6.4667,16.8167,71.4,95,100,1.95,light rain
226,Puri,IN,19.8,85.85,83.37,81,82,8.39,broken clouds
227,Aklavik,CA,68.2191,-135.0107,24.53,88,86,4.07,overcast clouds
228,Doha,QA,25.2867,51.5333,82.38,69,0,1.14,clear sky
229,Oussouye,SN,12.485,-16.5469,79.81,84,28,6.17,scattered clouds
230,Huilong,CN,31.8111,121.655,71.92,80,0,3.04,clear sky
231,Jiayuguan,CN,39.8167,98.3,53.83,28,25,3.29,scattered clouds
232,Nuuk,GL,64.1835,-51.7216,34.41,64,44,8.05,scattered clouds
233,Vitim,RU,59.4511,112.5578,28.99,98,97,2.91,overcast clouds
234,Laramie,US,41.3114,-105.5911,55.09,54,88,1.99,overcast clouds
235,Karratha,AU,-20.7377,116.8463,72.91,55,28,13.76,scattered clouds
236,Illela,NG,13.7292,5.2975,87.87,35,6,6.69,clear sky
237,Seminole,US,28.7086,-81.2081,83.37,73,1,10.36,clear sky
238,Muzhi,RU,65.3667,64.6667,32.83,82,15,11.83,few clouds
239,Povolzhskiy,RU,53.5854,49.7629,44.22,83,100,4.59,overcast clouds
240,Magnor,SE,59.9511,12.1996,50.41,96,100,4.05,moderate rain
241,Monrovia,LR,6.3005,-10.7969,76.77,85,91,7.34,overcast clouds
242,Rudnya,RU,54.947,31.0934,38.03,91,72,6.31,broken clouds
243,Villa Carlos Paz,AR,-31.4241,-64.4978,65.39,43,3,4.0,clear sky
244,Leua,SK,48.2156,18.6071,51.49,82,50,2.51,scattered clouds
245,Hamilton,US,39.1834,-84.5333,74.75,65,1,0.0,clear sky
246,Sadovoye,RU,47.7764,44.5089,43.79,55,6,6.2,clear sky
247,Zavetnoye,RU,47.1194,43.8903,43.52,52,0,7.56,clear sky
248,Kahului,US,20.8947,-156.47,85.26,81,75,16.11,light rain
